"filename", "language", "YAML", "Markdown", "Dart", "JSON", "C++", "XML", "HTML", "Swift", "Groovy", "Properties", "CMake", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\add_comment_use_case.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\getComment\get_all_comment.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\put_like.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\remove_like.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\replies\get_replies_of_this_comment.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\replies\likes\put_like_on_this_reply.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\replies\likes\remove_like_on_this_reply.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\replies\reply_on_this_comment.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\create_post.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\getPostInfo\get_all_posts.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\getPostInfo\get_post_info.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\getPostInfo\get_specific_users_posts.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\likes\put_like_on_this_post.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\likes\remove_the_like_on_this_post.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\story\create_story.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\story\delete_story.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\story\get_specific_stories.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\story\get_stories_info.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\add_new_user_usecase.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\add_post_to_user.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\add_story_to_user.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
