"filename", "language", "C++", "CMake", "JSON", "Dart", "YAML", "HTML", "Markdown", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter-clean-architecture-instagram\lib\core\resources\font_manager.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\flutter-clean-architecture-instagram\lib\core\resources\langauge_manager.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\flutter-clean-architecture-instagram\lib\core\resources\strings_manager.dart", "Dart", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 33, 158
"d:\flutter-clean-architecture-instagram\lib\core\resources\styles_manager.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"d:\flutter-clean-architecture-instagram\lib\core\use_case\use_case.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\flutter-clean-architecture-instagram\lib\core\utility\constant.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\flutter-clean-architecture-instagram\lib\core\utility\define_function.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\flutter-clean-architecture-instagram\lib\core\utility\injector.dart", "Dart", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 50, 47, 332
"d:\flutter-clean-architecture-instagram\lib\core\widgets\svg_pictures.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\firebase_auth.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\firebase_storage.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\notification.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 5, 63
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\post\comment\firestore_comment.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 13, 89
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\post\comment\firestore_reply.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 11, 64
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\post\firestore_post.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 16, 127
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\story\firestore_story.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
