"filename", "language", "C++", "CMake", "YAML", "Dart", "JSON", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\add_post_to_user.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\add_story_to_user.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\getUserInfo\get_followers_and_followings_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\getUserInfo\get_specific_users_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\getUserInfo\get_user_from_user_name.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\getUserInfo\get_user_info_usecase.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\massage\add_massage.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\massage\get_massages.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\update_user_info.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\upload_profile_image_usecase.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\followUseCase\follow_this_user.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\followUseCase\remove_this_follower.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\add_comment_use_case.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\getComment\get_all_comment.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\getComment\get_comment.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\put_like.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\remove_like.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\get_replies_of_this_comment.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\likes\put_like_on_this_reply.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\likes\remove_like_on_this_reply.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\reply_on_this_comment.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\create_post.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\getPostInfo\get_all_posts.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\getPostInfo\get_post_info.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
